chembl id,Number of Articles Mentioned,Names Used,Mentioned in Articles,chembl url
CHEMBL3,1,['nicotine'],['Effects of HIV on executive function and verbal fluency in Cameroon'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL3
CHEMBL6,1,['indomethacin'],['Mesenchymal stem cells are attracted to latent HIV-1-infected cells and enable virus reactivation via a non-canonical PI3K-NFκB signaling pathway'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL6
CHEMBL1202,5,['cipro'],"['Cellular TRIM33 restrains HIV-1 infection by targeting viral integrase for proteasomal degradation', 'Single Cell Profiling Reveals PTEN Overexpression in Influenza-Specific B cells in Aging HIV-infected individuals on Anti-retroviral Therapy', 'Comparison of visceral fat measurement by dual-energy X-ray absorptiometry to computed tomography in HIV and non-HIV', 'A Naturally Occurring Polymorphism in the HIV-1 Tat Basic Domain Inhibits Uptake by Bystander Cells and Leads to Reduced Neuroinflammation', 'Mesenchymal stem cells are attracted to latent HIV-1-infected cells and enable virus reactivation via a non-canonical PI3K-NFκB signaling pathway']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL1202
CHEMBL405,3,['amphetamine'],"['Methamphetamine functions as a novel CD4+ T-cell activator via the sigma-1 receptor to enhance HIV-1 infection', 'HIV-infected macrophages and microglia that survive acute infection become viral reservoirs by a mechanism involving Bim', 'Effects of HIV on executive function and verbal fluency in Cameroon']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL405
CHEMBL263881,1,['lsd'],['Single Cell Profiling Reveals PTEN Overexpression in Influenza-Specific B cells in Aging HIV-infected individuals on Anti-retroviral Therapy'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL263881
CHEMBL413,2,['rapamycin'],"['Integrated systems approach defines the antiviral pathways conferring protection by the RV144 HIV vaccine', 'Mesenchymal stem cells are attracted to latent HIV-1-infected cells and enable virus reactivation via a non-canonical PI3K-NFκB signaling pathway']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL413
CHEMBL421,1,['ucine'],['Persistent metabolic changes in HIV-infected patients during the first year of combination antiretroviral therapy'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL421
CHEMBL25,18,['measurin'],"['Impact of HIV-ART on the restoration of Th17 and Treg cells in blood and female genital mucosa', 'G protein-coupled and ATP-sensitive inwardly rectifying potassium ion channels are essential for HIV entry', 'Cellular TRIM33 restrains HIV-1 infection by targeting viral integrase for proteasomal degradation', 'High Abundance of genus Prevotella in the gut of perinatally HIV-infected children is associated with IP-10 levels despite therapy', 'Single Cell Profiling Reveals PTEN Overexpression in Influenza-Specific B cells in Aging HIV-infected individuals on Anti-retroviral Therapy', 'Hexamethylene bisacetamide impairs NK cell-mediated clearance of acute T lymphoblastic leukemia cells and HIV-1-infected T cells that exit viral latency', 'Variations in plantar pressure and balance in HIV-infected children in antiretroviral therapy', 'Highly Mutable Linker Regions Regulate HIV-1 Rev Function and Stability', 'Magnetically guided non-invasive CRISPR-Cas9/gRNA delivery across blood-brain barrier to eradicate latent HIV-1 infection', 'Epithelial Cells and Fibroblasts from the Human Female Reproductive Tract Accumulate and Release TFV and TAF to Sustain Inhibition of HIV Infection of CD4+ T cells', 'A child with perinatal HIV infection and long-term sustained virological control following antiretroviral treatment cessation', 'Proteo-Transcriptomic Dynamics of Cellular Response to HIV-1 Infection', 'HIV-1 vaccination by needle-free oral injection induces strong mucosal immunity and protects against SHIV challenge', 'PD-1 blockade potentiates HIV latency reversal ex vivo in CD4+ T cells from ART-suppressed individuals', 'Peptide Assembly on the Membrane Determines the HIV-1 Inhibitory Activity of Dual-Targeting Fusion Inhibitor Peptides', 'A Naturally Occurring Polymorphism in the HIV-1 Tat Basic Domain Inhibits Uptake by Bystander Cells and Leads to Reduced Neuroinflammation', 'Methamphetamine functions as a novel CD4+ T-cell activator via the sigma-1 receptor to enhance HIV-1 infection', 'Mesenchymal stem cells are attracted to latent HIV-1-infected cells and enable virus reactivation via a non-canonical PI3K-NFκB signaling pathway']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL25
CHEMBL424,3,['compound w'],"['Anti-HIV-1 integrase potency of methylgallate from Alchornea cordifolia using in vitro and in silico approaches', 'Hexamethylene bisacetamide impairs NK cell-mediated clearance of acute T lymphoblastic leukemia cells and HIV-1-infected T cells that exit viral latency', 'Mesenchymal stem cells are attracted to latent HIV-1-infected cells and enable virus reactivation via a non-canonical PI3K-NFκB signaling pathway']",https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL424
CHEMBL6995,1,['eraldin'],['Disruption of Timing: NeuroHIV Progression in the Post-cART Era'],https://www.ebi.ac.uk/chembl/compound/inspect/CHEMBL6995
