Synonym,Chembl ID
bromoenol lactone,CHEMBL1256018
btnp,CHEMBL6206
ucl-1530,CHEMBL446445
prazosin,CHEMBL2
cp-12299,CHEMBL2
benzo[c]chromen-6-one,CHEMBL6355
zomepirac sodium,CHEMBL3989403
nicotine,CHEMBL3
habitrol,CHEMBL3
nicabate,CHEMBL3
nicoderm,CHEMBL3
nicoderm cq,CHEMBL3
nicopass,CHEMBL3
nicopatch,CHEMBL3
nicorette invisi,CHEMBL3
nicotinell classic,CHEMBL3
nicotinell support,CHEMBL3
nicotinell tts 10,CHEMBL3
nicotinell tts 20,CHEMBL3
nicotinell tts 30,CHEMBL3
nicotrol,CHEMBL3
nicotrol inhaler,CHEMBL3
nicotrol ns,CHEMBL3
niquitin,CHEMBL3
niquitin clr,CHEMBL3
niquitin minis cherry,CHEMBL3
niquitin minis mint,CHEMBL3
niquitin minis orange,CHEMBL3
niquitin mint,CHEMBL3
niquitin pre-quit,CHEMBL3
niquitin strips mint,CHEMBL3
prostep,CHEMBL3
stoppers,CHEMBL3
stubit,CHEMBL3
scr-01020,CHEMBL6346
ofloxacin,CHEMBL4
dl-8280,CHEMBL4
hoe-280,CHEMBL4
exocin,CHEMBL4
floxin,CHEMBL4
floxin otic,CHEMBL4
ocuflox,CHEMBL4
tarivid,CHEMBL4
tarivid 400,CHEMBL4
tarivid i.v.,CHEMBL4
visiren,CHEMBL4
nalidixic acid,CHEMBL5
nalidixane,CHEMBL5
win-18320,CHEMBL5
mictral,CHEMBL5
nalix,CHEMBL5
neg gram,CHEMBL5
neggram,CHEMBL5
negram,CHEMBL5
uriben,CHEMBL5
uroneg,CHEMBL5
wintomylon,CHEMBL5
ellagic acid,CHEMBL6246
benzoaric acid,CHEMBL6246
darapladib,CHEMBL204021
sb-480848,CHEMBL204021
pms-601,CHEMBL6322
indometacin,CHEMBL6
indomethacin,CHEMBL6
indometacin farnesil,CHEMBL6
artracin,CHEMBL6
artracin sr,CHEMBL6
berlind 75 ret,CHEMBL6
flexin-25 continus,CHEMBL6
flexin-50 continus,CHEMBL6
flexin-75 continus,CHEMBL6
imbrilon,CHEMBL6
indo-lemmon,CHEMBL6
indo-paed,CHEMBL6
indocid ret,CHEMBL6
indocid-r,CHEMBL6
indocin,CHEMBL3989410
indocin sr,CHEMBL6
indoderm,CHEMBL6
indoflex,CHEMBL6
indolar,CHEMBL6
indolar sr,CHEMBL6
indomax-25,CHEMBL6
indomax-75 sr,CHEMBL6
indomod,CHEMBL6
indoptol,CHEMBL6
indotard mr 75,CHEMBL6
ledmecin,CHEMBL6
maximet sr,CHEMBL6
mobilan,CHEMBL6
pardelprin mr,CHEMBL6
rheumacin la,CHEMBL6
rimacid,CHEMBL6
slo-indo,CHEMBL6
tivorbex,CHEMBL6
sulbactam,CHEMBL403
cp-45899,CHEMBL403
sc-58272,CHEMBL6269
difloxacin,CHEMBL6259
tazobactam,CHEMBL404
cl-298741,CHEMBL404
ytr-830h,CHEMBL404
fleroxacin,CHEMBL6273
am-833,CHEMBL6273
ro-236240,CHEMBL6273
ro-236240000,CHEMBL6273
megalone,CHEMBL6273
ro-318220,CHEMBL1591531
merafloxacin,CHEMBL6209
ci-934,CHEMBL6209
pd-117558,CHEMBL6210
tcmdc-123993,CHEMBL6229
gnf-pf-1931,CHEMBL6229
amifloxacin,CHEMBL6231
win-49375,CHEMBL6231
ciprofloxacin,CHEMBL8
ciloxan,CHEMBL1202
bay-q-3939,CHEMBL8
cetraxal,CHEMBL1202
cipro,CHEMBL1202
ciprobay,CHEMBL8
otiprio,CHEMBL8
velmonit,CHEMBL8
norfloxacin,CHEMBL9
noroxin,CHEMBL9
mk-366,CHEMBL9
baccidal,CHEMBL9
chibroxin,CHEMBL9
quinabic,CHEMBL9
utinor,CHEMBL9
sb-203580,CHEMBL10
skf-86055,CHEMBL266707
sb-431542,CHEMBL440084
sb-431533,CHEMBL267228
hexestrol,CHEMBL9225
hexestrol diphosphate sodium,CHEMBL6615
pnu-22394,CHEMBL6557
4-methylthioamphetamine,CHEMBL6467
racemic doi,CHEMBL6616
cgs-19281a,CHEMBL6409
ro-481220,CHEMBL333078
bms-182874,CHEMBL267458
idoxifene,CHEMBL6318
cb-7432,CHEMBL6318
sb-223030,CHEMBL6318
amfetamine,CHEMBL405
amphetamine,CHEMBL405
amphetamine resin complex,CHEMBL405
adzenys er,CHEMBL405
adzenys xr-odt,CHEMBL405
dyanavel xr,CHEMBL405
isosorbide dinitrate,CHEMBL6622
sorbide nitrate,CHEMBL6622
angitak,CHEMBL6622
carvasin,CHEMBL6622
cedocard,CHEMBL6622
cedocard ret,CHEMBL6622
cedocard-10,CHEMBL6622
cedocard-20,CHEMBL6622
cedocard-40,CHEMBL6622
cedocard-5,CHEMBL6622
dilatrate,CHEMBL6622
dilatrate-sr,CHEMBL6622
imtack,CHEMBL6622
iso mack,CHEMBL6622
isocard,CHEMBL6622
isoket 0.05%,CHEMBL6622
isoket 0.1%,CHEMBL6622
isoket 10,CHEMBL6622
isoket 20,CHEMBL6622
isoket 5,CHEMBL6622
isoket ret 20,CHEMBL6622
isoket ret 40,CHEMBL6622
isordil,CHEMBL6622
isordil tembids,CHEMBL6622
jeridin,CHEMBL6622
soni-slo,CHEMBL6622
sorbichew,CHEMBL6622
sorbid sa,CHEMBL6622
sorbid-20 sa,CHEMBL6622
sorbid-40 sa,CHEMBL6622
sorbidilat,CHEMBL6622
sorbitrate,CHEMBL6622
vascardin,CHEMBL6622
mianserin,CHEMBL6437
tenamfetamine,CHEMBL6731
lysergide,CHEMBL263881
lysergic acid diethylamide,CHEMBL263881
lsd,CHEMBL263881
imipramine,CHEMBL11
janimine,CHEMBL1692
pramine,CHEMBL1692
presamine,CHEMBL1692
tofranil,CHEMBL1692
tofranil-pm,CHEMBL11
indapamide,CHEMBL406
cardide sr,CHEMBL406
ethibide xl,CHEMBL406
indaxa 2.5,CHEMBL406
indipam xl,CHEMBL406
lozol,CHEMBL406
mapemid xl,CHEMBL406
natrilix,CHEMBL406
natrilix sr,CHEMBL406
nindaxa 2.5,CHEMBL406
opumide 2.5,CHEMBL406
rawel xl,CHEMBL406
tensaid xl,CHEMBL406
varbim xl,CHEMBL406
ro-151310,CHEMBL415290
flumazenil,CHEMBL407
flumazepil,CHEMBL407
ro-151788,CHEMBL407
ro-151788000,CHEMBL407
anexate,CHEMBL407
mazicon,CHEMBL407
romazicon,CHEMBL407
troglitazone,CHEMBL408
rezulin,CHEMBL408
ci-991,CHEMBL408
cs-045,CHEMBL408
gr-92132x,CHEMBL408
gr92132x,CHEMBL408
prelay,CHEMBL408
romozin,CHEMBL408
win-54954,CHEMBL6594
"4,4'-(cyclohexylidenemethylene)diphenol",CHEMBL6619
4-cyclohexyliden(4-hydroxyphenyl)methylphenol,CHEMBL6619
4-[cyclohexylidene(4-hydroxyphenyl)methyl]phenol,CHEMBL6619
2-bfi,CHEMBL404505
bicalutamide,CHEMBL409
casodex,CHEMBL409
ici-176334,CHEMBL63560
calutide,CHEMBL409
cosudex,CHEMBL409
kalumid,CHEMBL409
diazepam,CHEMBL12
la-iii,CHEMBL12
ro-52807,CHEMBL12
wy-3467,CHEMBL12
alupram 10,CHEMBL12
alupram 2,CHEMBL12
alupram 5,CHEMBL12
apozepam,CHEMBL12
atensine,CHEMBL12
dialar,CHEMBL12
dialar fte,CHEMBL12
diastat,CHEMBL12
diastat acudial,CHEMBL12
diazepam intensol,CHEMBL12
dizac,CHEMBL12
e-pam,CHEMBL12
paxel,CHEMBL12
q-pam,CHEMBL12
relanium,CHEMBL12
scriptopam,CHEMBL12
serenack,CHEMBL12
solis,CHEMBL12
stesolid,CHEMBL12
tensium,CHEMBL12
tranimul,CHEMBL12
valclair,CHEMBL12
valium,CHEMBL12
valrelease,CHEMBL12
vivol,CHEMBL12
dup-721,CHEMBL6462
ro-154513,CHEMBL6597
enisoprost,CHEMBL266979
sc-34301,CHEMBL266979
2-{[(4-aminophenyl)sulfonyl]amino}benzenesulfonamide,CHEMBL6946
metoprolol,CHEMBL13
lopressidone,CHEMBL13
toprol-xl,CHEMBL13
zidapamide,CHEMBL6378
isodapamide,CHEMBL6378
naphthalene-1-sulfonamide,CHEMBL6648
naphthalene-1-sulfonic acid amide,CHEMBL6648
4-(2-aminoethyl)benzenesulfonamide,CHEMBL7087
alprenolol,CHEMBL266195
dimecamine,CHEMBL538393
fenretinide,CHEMBL7301
4-hpr,CHEMBL7301
mcn-r-1967,CHEMBL7301
diethylstilbestrol,CHEMBL411
cyren a,CHEMBL411
estrobene,CHEMBL411
estrogenine,CHEMBL411
estromenin,CHEMBL411
fonatol,CHEMBL411
new-estranol 1,CHEMBL411
palestrol,CHEMBL411
stilbestroform,CHEMBL411
stilbestrol,CHEMBL411
stilboestrol,CHEMBL411
synestrin,CHEMBL411
synthestrin,CHEMBL411
apstil,CHEMBL411
distilbene,CHEMBL411
stilbetin,CHEMBL411
stilboesterol,CHEMBL411
tampovagan,CHEMBL411
ro-147437,CHEMBL267665
mecamylamine,CHEMBL1398031
carbachol,CHEMBL965
carbacholine chloride,CHEMBL14
carbamoylcholine chloride,CHEMBL14
carbastat,CHEMBL965
doryl,CHEMBL14
miostat,CHEMBL965
norarecoline,CHEMBL268808
thiazole,CHEMBL268353
ro-194603,CHEMBL269366
phenytoin,CHEMBL16
diphenylhydantoin,CHEMBL16
phenytek,CHEMBL1611
phenytex,CHEMBL1611
dilabid,CHEMBL16
dilantin,CHEMBL1611
dilantin-125,CHEMBL16
dilantin-30,CHEMBL16
hydantol,CHEMBL16
phentytoin,CHEMBL16
sirolimus,CHEMBL413
rapamycin,CHEMBL413
ay-22989,CHEMBL413
wy-090217,CHEMBL413
rapamune,CHEMBL413
fk-506,CHEMBL3989887
fr-900506,CHEMBL3989887
prograf,CHEMBL3989887
protopic,CHEMBL3989887
tacrolimus,CHEMBL3989887
gpi-1046,CHEMBL6367
carzenide,CHEMBL414
para-carboxybenzenesulfonamide,CHEMBL414
4-(2-hydroxyethyl)benzenesulfonamide,CHEMBL6784
